"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 19:40:28 GMT 2022","Tue Jun 07 19:40:40 GMT 2022","12559","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 19:40:53 GMT 2022","Tue Jun 07 19:41:07 GMT 2022","13911","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 19:41:32 GMT 2022","Tue Jun 07 19:41:44 GMT 2022","12601","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 19:40:40 GMT 2022","Tue Jun 07 19:40:53 GMT 2022","12724","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 19:41:07 GMT 2022","Tue Jun 07 19:41:19 GMT 2022","12137","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 19:39:58 GMT 2022","Tue Jun 07 19:40:13 GMT 2022","14951","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 19:40:13 GMT 2022","Tue Jun 07 19:40:28 GMT 2022","14502","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 19:41:19 GMT 2022","Tue Jun 07 19:41:32 GMT 2022","12507","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
