"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 03 00:39:15 GMT 2022","Fri Jun 03 00:39:15 GMT 2022","162","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Fri Jun 03 00:39:15 GMT 2022","Fri Jun 03 00:39:15 GMT 2022","163","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Fri Jun 03 00:39:15 GMT 2022","Fri Jun 03 00:39:15 GMT 2022","209","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Fri Jun 03 00:39:16 GMT 2022","Fri Jun 03 00:39:16 GMT 2022","158","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Fri Jun 03 00:39:16 GMT 2022","Fri Jun 03 00:39:16 GMT 2022","162","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Fri Jun 03 00:39:15 GMT 2022","Fri Jun 03 00:39:16 GMT 2022","163","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Fri Jun 03 00:39:14 GMT 2022","Fri Jun 03 00:39:15 GMT 2022","188","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Fri Jun 03 00:39:15 GMT 2022","Fri Jun 03 00:39:15 GMT 2022","159","","YoutubeTest","","YoutubeTest","settings","settings()",""
