"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 19:21:12 GMT 2022","Tue Jun 07 19:21:27 GMT 2022","15068","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 19:22:31 GMT 2022","Tue Jun 07 19:22:44 GMT 2022","13083","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 19:21:53 GMT 2022","Tue Jun 07 19:22:05 GMT 2022","12667","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 19:22:18 GMT 2022","Tue Jun 07 19:22:31 GMT 2022","12687","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 19:22:05 GMT 2022","Tue Jun 07 19:22:18 GMT 2022","13081","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 19:21:40 GMT 2022","Tue Jun 07 19:21:53 GMT 2022","12777","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 19:21:27 GMT 2022","Tue Jun 07 19:21:40 GMT 2022","12863","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 19:20:57 GMT 2022","Tue Jun 07 19:21:12 GMT 2022","14434","","YoutubeTest","","YoutubeTest","login","login()",""
