"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 20:03:19 GMT 2022","Tue Jun 07 20:03:32 GMT 2022","12830","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 20:03:32 GMT 2022","Tue Jun 07 20:03:45 GMT 2022","12880","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 20:03:06 GMT 2022","Tue Jun 07 20:03:19 GMT 2022","12930","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 20:03:58 GMT 2022","Tue Jun 07 20:04:11 GMT 2022","12404","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 20:02:26 GMT 2022","Tue Jun 07 20:02:40 GMT 2022","13930","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 20:03:45 GMT 2022","Tue Jun 07 20:03:58 GMT 2022","13216","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 20:02:40 GMT 2022","Tue Jun 07 20:02:53 GMT 2022","13099","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 20:02:53 GMT 2022","Tue Jun 07 20:03:06 GMT 2022","12838","","YoutubeTest","","YoutubeTest","settings","settings()",""
