"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 23:07:39 GMT 2022","Tue Jun 07 23:07:59 GMT 2022","19460","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 23:06:41 GMT 2022","Tue Jun 07 23:07:00 GMT 2022","19516","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 23:06:22 GMT 2022","Tue Jun 07 23:06:41 GMT 2022","19212","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 23:06:02 GMT 2022","Tue Jun 07 23:06:22 GMT 2022","19347","","YoutubeTest","","YoutubeTest","logout","logout()",""
"passed","Tue Jun 07 23:05:52 GMT 2022","Tue Jun 07 23:06:02 GMT 2022","10555","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 23:07:19 GMT 2022","Tue Jun 07 23:07:39 GMT 2022","19689","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 23:07:59 GMT 2022","Tue Jun 07 23:08:18 GMT 2022","19657","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 23:07:00 GMT 2022","Tue Jun 07 23:07:19 GMT 2022","19061","","YoutubeTest","","YoutubeTest","history","history()",""
