"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 00:41:08 GMT 2022","Wed Jun 08 00:41:27 GMT 2022","18691","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Wed Jun 08 00:42:05 GMT 2022","Wed Jun 08 00:42:24 GMT 2022","19190","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Wed Jun 08 00:41:46 GMT 2022","Wed Jun 08 00:42:05 GMT 2022","18938","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Wed Jun 08 00:42:43 GMT 2022","Wed Jun 08 00:43:02 GMT 2022","18931","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Wed Jun 08 00:42:24 GMT 2022","Wed Jun 08 00:42:43 GMT 2022","18949","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"passed","Wed Jun 08 00:40:39 GMT 2022","Wed Jun 08 00:40:49 GMT 2022","10273","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Wed Jun 08 00:40:49 GMT 2022","Wed Jun 08 00:41:08 GMT 2022","18845","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Wed Jun 08 00:41:27 GMT 2022","Wed Jun 08 00:41:46 GMT 2022","18893","","YoutubeTest","","YoutubeTest","search","search()",""
