"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 02 23:30:57 GMT 2022","Thu Jun 02 23:30:57 GMT 2022","1","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Thu Jun 02 23:30:57 GMT 2022","Thu Jun 02 23:30:57 GMT 2022","2","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Thu Jun 02 23:30:57 GMT 2022","Thu Jun 02 23:30:57 GMT 2022","4","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Thu Jun 02 23:30:56 GMT 2022","Thu Jun 02 23:30:56 GMT 2022","46","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Thu Jun 02 23:30:57 GMT 2022","Thu Jun 02 23:30:57 GMT 2022","1","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Thu Jun 02 23:30:57 GMT 2022","Thu Jun 02 23:30:57 GMT 2022","2","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Thu Jun 02 23:30:57 GMT 2022","Thu Jun 02 23:30:57 GMT 2022","1","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Thu Jun 02 23:30:57 GMT 2022","Thu Jun 02 23:30:57 GMT 2022","2","","YoutubeTest","","YoutubeTest","history","history()",""
