"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 18:24:15 GMT 2022","Tue Jun 07 18:24:15 GMT 2022","10","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 18:24:15 GMT 2022","Tue Jun 07 18:24:15 GMT 2022","5","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 18:24:15 GMT 2022","Tue Jun 07 18:24:15 GMT 2022","2","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 18:24:15 GMT 2022","Tue Jun 07 18:24:15 GMT 2022","13","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 18:24:15 GMT 2022","Tue Jun 07 18:24:15 GMT 2022","2","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 18:24:05 GMT 2022","Tue Jun 07 18:24:15 GMT 2022","10235","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 18:24:15 GMT 2022","Tue Jun 07 18:24:15 GMT 2022","9","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 18:24:15 GMT 2022","Tue Jun 07 18:24:15 GMT 2022","9","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
