"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 20:35:13 GMT 2022","Tue Jun 07 20:35:26 GMT 2022","12872","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 20:36:03 GMT 2022","Tue Jun 07 20:36:15 GMT 2022","12129","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 20:35:26 GMT 2022","Tue Jun 07 20:35:39 GMT 2022","12434","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 20:35:39 GMT 2022","Tue Jun 07 20:35:51 GMT 2022","12096","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 20:36:15 GMT 2022","Tue Jun 07 20:36:28 GMT 2022","12112","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 20:36:28 GMT 2022","Tue Jun 07 20:36:40 GMT 2022","12092","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 20:36:40 GMT 2022","Tue Jun 07 20:36:52 GMT 2022","12129","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 20:35:51 GMT 2022","Tue Jun 07 20:36:03 GMT 2022","12413","","YoutubeTest","","YoutubeTest","search","search()",""
