"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 19:06:43 GMT 2022","Tue Jun 07 19:06:43 GMT 2022","175","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 19:06:42 GMT 2022","Tue Jun 07 19:06:42 GMT 2022","221","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 19:06:42 GMT 2022","Tue Jun 07 19:06:43 GMT 2022","172","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 19:06:42 GMT 2022","Tue Jun 07 19:06:42 GMT 2022","233","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 19:06:43 GMT 2022","Tue Jun 07 19:06:43 GMT 2022","172","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 19:06:43 GMT 2022","Tue Jun 07 19:06:43 GMT 2022","165","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 19:06:43 GMT 2022","Tue Jun 07 19:06:43 GMT 2022","178","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 19:06:41 GMT 2022","Tue Jun 07 19:06:42 GMT 2022","964","","YoutubeTest","","YoutubeTest","login","login()",""
