"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 22:44:23 GMT 2022","Tue Jun 07 22:44:39 GMT 2022","16066","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 22:44:07 GMT 2022","Tue Jun 07 22:44:23 GMT 2022","16262","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 22:43:17 GMT 2022","Tue Jun 07 22:43:34 GMT 2022","16197","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 22:44:55 GMT 2022","Tue Jun 07 22:45:12 GMT 2022","16855","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 22:43:00 GMT 2022","Tue Jun 07 22:43:17 GMT 2022","17285","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 22:44:39 GMT 2022","Tue Jun 07 22:44:55 GMT 2022","16369","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 22:43:34 GMT 2022","Tue Jun 07 22:43:50 GMT 2022","16729","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 22:43:50 GMT 2022","Tue Jun 07 22:44:07 GMT 2022","16269","","YoutubeTest","","YoutubeTest","search","search()",""
