"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 19:32:52 GMT 2022","Tue Jun 07 19:33:04 GMT 2022","12672","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 19:33:42 GMT 2022","Tue Jun 07 19:33:55 GMT 2022","12724","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 19:32:38 GMT 2022","Tue Jun 07 19:32:52 GMT 2022","13247","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 19:32:25 GMT 2022","Tue Jun 07 19:32:38 GMT 2022","13133","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 19:33:55 GMT 2022","Tue Jun 07 19:34:08 GMT 2022","12812","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 19:33:04 GMT 2022","Tue Jun 07 19:33:17 GMT 2022","12685","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 19:33:17 GMT 2022","Tue Jun 07 19:33:30 GMT 2022","12598","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 19:33:30 GMT 2022","Tue Jun 07 19:33:42 GMT 2022","12566","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
