"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 03 00:54:59 GMT 2022","Fri Jun 03 00:54:59 GMT 2022","163","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Fri Jun 03 00:54:58 GMT 2022","Fri Jun 03 00:54:58 GMT 2022","239","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Fri Jun 03 00:54:58 GMT 2022","Fri Jun 03 00:54:59 GMT 2022","223","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Fri Jun 03 00:54:59 GMT 2022","Fri Jun 03 00:54:59 GMT 2022","214","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Fri Jun 03 00:54:59 GMT 2022","Fri Jun 03 00:54:59 GMT 2022","167","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Fri Jun 03 00:54:59 GMT 2022","Fri Jun 03 00:54:59 GMT 2022","161","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Fri Jun 03 00:54:59 GMT 2022","Fri Jun 03 00:55:00 GMT 2022","156","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Fri Jun 03 00:54:59 GMT 2022","Fri Jun 03 00:54:59 GMT 2022","163","","YoutubeTest","","YoutubeTest","settings","settings()",""
