"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 22:00:41 GMT 2022","Tue Jun 07 22:00:57 GMT 2022","16310","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 21:59:34 GMT 2022","Tue Jun 07 21:59:51 GMT 2022","16349","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 22:00:24 GMT 2022","Tue Jun 07 22:00:41 GMT 2022","16510","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 21:59:01 GMT 2022","Tue Jun 07 21:59:17 GMT 2022","16361","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 21:58:44 GMT 2022","Tue Jun 07 21:59:01 GMT 2022","17159","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 21:59:17 GMT 2022","Tue Jun 07 21:59:34 GMT 2022","17101","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 22:00:07 GMT 2022","Tue Jun 07 22:00:24 GMT 2022","16695","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 21:59:51 GMT 2022","Tue Jun 07 22:00:07 GMT 2022","16627","","YoutubeTest","","YoutubeTest","history","history()",""
