"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 19:12:48 GMT 2022","Tue Jun 07 19:13:02 GMT 2022","14182","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 19:14:21 GMT 2022","Tue Jun 07 19:14:34 GMT 2022","12931","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 19:13:42 GMT 2022","Tue Jun 07 19:13:55 GMT 2022","13083","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 19:14:08 GMT 2022","Tue Jun 07 19:14:21 GMT 2022","12695","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 19:13:29 GMT 2022","Tue Jun 07 19:13:42 GMT 2022","13131","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 19:13:55 GMT 2022","Tue Jun 07 19:14:08 GMT 2022","13160","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 19:13:02 GMT 2022","Tue Jun 07 19:13:15 GMT 2022","13177","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 19:13:15 GMT 2022","Tue Jun 07 19:13:29 GMT 2022","13055","","YoutubeTest","","YoutubeTest","settings","settings()",""
