"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 20:20:31 GMT 2022","Tue Jun 07 20:20:44 GMT 2022","12848","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 20:20:44 GMT 2022","Tue Jun 07 20:20:58 GMT 2022","14201","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 20:20:03 GMT 2022","Tue Jun 07 20:20:18 GMT 2022","14995","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 20:21:25 GMT 2022","Tue Jun 07 20:21:38 GMT 2022","13166","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 20:21:12 GMT 2022","Tue Jun 07 20:21:25 GMT 2022","12831","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 20:20:19 GMT 2022","Tue Jun 07 20:20:31 GMT 2022","12727","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 20:20:58 GMT 2022","Tue Jun 07 20:21:12 GMT 2022","14058","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 20:21:38 GMT 2022","Tue Jun 07 20:21:51 GMT 2022","12969","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
