"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 20:11:17 GMT 2022","Tue Jun 07 20:11:30 GMT 2022","12416","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 20:11:42 GMT 2022","Tue Jun 07 20:11:57 GMT 2022","14557","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 20:10:37 GMT 2022","Tue Jun 07 20:10:50 GMT 2022","12747","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 20:10:24 GMT 2022","Tue Jun 07 20:10:37 GMT 2022","12825","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 20:11:04 GMT 2022","Tue Jun 07 20:11:17 GMT 2022","12715","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 20:11:30 GMT 2022","Tue Jun 07 20:11:42 GMT 2022","12484","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 20:10:10 GMT 2022","Tue Jun 07 20:10:24 GMT 2022","13843","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 20:10:50 GMT 2022","Tue Jun 07 20:11:04 GMT 2022","14719","","YoutubeTest","","YoutubeTest","search","search()",""
