"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 18:16:22 GMT 2022","Tue Jun 07 18:16:22 GMT 2022","4","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 18:16:22 GMT 2022","Tue Jun 07 18:16:22 GMT 2022","5","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 18:16:22 GMT 2022","Tue Jun 07 18:16:22 GMT 2022","13","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 18:16:22 GMT 2022","Tue Jun 07 18:16:22 GMT 2022","7","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 18:16:22 GMT 2022","Tue Jun 07 18:16:22 GMT 2022","5","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 18:16:22 GMT 2022","Tue Jun 07 18:16:22 GMT 2022","5","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 18:16:22 GMT 2022","Tue Jun 07 18:16:22 GMT 2022","9","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 18:16:11 GMT 2022","Tue Jun 07 18:16:22 GMT 2022","10214","","YoutubeTest","","YoutubeTest","login","login()",""
