"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 18:11:17 GMT 2022","Tue Jun 07 18:11:17 GMT 2022","3","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 18:11:17 GMT 2022","Tue Jun 07 18:11:17 GMT 2022","4","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 18:11:17 GMT 2022","Tue Jun 07 18:11:17 GMT 2022","12","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 18:11:17 GMT 2022","Tue Jun 07 18:11:17 GMT 2022","9","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 18:11:17 GMT 2022","Tue Jun 07 18:11:17 GMT 2022","2","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 18:11:06 GMT 2022","Tue Jun 07 18:11:17 GMT 2022","10398","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 18:11:17 GMT 2022","Tue Jun 07 18:11:17 GMT 2022","3","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 18:11:17 GMT 2022","Tue Jun 07 18:11:17 GMT 2022","3","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
