"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 22:57:40 GMT 2022","Tue Jun 07 22:57:56 GMT 2022","16638","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 22:57:56 GMT 2022","Tue Jun 07 22:58:13 GMT 2022","16764","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 22:57:23 GMT 2022","Tue Jun 07 22:57:40 GMT 2022","16646","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 22:56:49 GMT 2022","Tue Jun 07 22:57:06 GMT 2022","16958","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 22:56:31 GMT 2022","Tue Jun 07 22:56:49 GMT 2022","17913","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 22:58:30 GMT 2022","Tue Jun 07 22:58:47 GMT 2022","16843","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 22:58:13 GMT 2022","Tue Jun 07 22:58:30 GMT 2022","16718","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 22:57:06 GMT 2022","Tue Jun 07 22:57:23 GMT 2022","16934","","YoutubeTest","","YoutubeTest","settings","settings()",""
