"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 23:28:49 GMT 2022","Tue Jun 07 23:29:08 GMT 2022","18536","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 23:29:08 GMT 2022","Tue Jun 07 23:29:26 GMT 2022","18276","","YoutubeTest","","YoutubeTest","history","history()",""
"passed","Tue Jun 07 23:28:07 GMT 2022","Tue Jun 07 23:28:16 GMT 2022","9079","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 23:28:16 GMT 2022","Tue Jun 07 23:28:31 GMT 2022","15308","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 23:29:57 GMT 2022","Tue Jun 07 23:30:13 GMT 2022","15697","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 23:28:31 GMT 2022","Tue Jun 07 23:28:49 GMT 2022","18019","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 23:29:26 GMT 2022","Tue Jun 07 23:29:41 GMT 2022","15401","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 23:29:41 GMT 2022","Tue Jun 07 23:29:57 GMT 2022","15691","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
