"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 23:53:33 GMT 2022","Tue Jun 07 23:53:51 GMT 2022","17873","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 23:52:04 GMT 2022","Tue Jun 07 23:52:23 GMT 2022","18437","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 23:53:51 GMT 2022","Tue Jun 07 23:54:06 GMT 2022","15210","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"passed","Tue Jun 07 23:51:55 GMT 2022","Tue Jun 07 23:52:04 GMT 2022","9062","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 23:52:23 GMT 2022","Tue Jun 07 23:52:41 GMT 2022","18039","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 23:52:41 GMT 2022","Tue Jun 07 23:52:59 GMT 2022","17772","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 23:52:59 GMT 2022","Tue Jun 07 23:53:14 GMT 2022","15239","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 23:53:14 GMT 2022","Tue Jun 07 23:53:33 GMT 2022","19310","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
