"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 03 08:11:11 GMT 2022","Fri Jun 03 08:11:11 GMT 2022","158","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Fri Jun 03 08:11:11 GMT 2022","Fri Jun 03 08:11:12 GMT 2022","159","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Fri Jun 03 08:11:10 GMT 2022","Fri Jun 03 08:11:10 GMT 2022","333","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Fri Jun 03 08:11:11 GMT 2022","Fri Jun 03 08:11:11 GMT 2022","169","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Fri Jun 03 08:11:11 GMT 2022","Fri Jun 03 08:11:11 GMT 2022","160","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Fri Jun 03 08:11:10 GMT 2022","Fri Jun 03 08:11:11 GMT 2022","167","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Fri Jun 03 08:11:11 GMT 2022","Fri Jun 03 08:11:11 GMT 2022","220","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Fri Jun 03 08:11:11 GMT 2022","Fri Jun 03 08:11:11 GMT 2022","162","","YoutubeTest","","YoutubeTest","history","history()",""
