"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 23:42:19 GMT 2022","Tue Jun 07 23:42:35 GMT 2022","15962","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 23:43:12 GMT 2022","Tue Jun 07 23:43:30 GMT 2022","18588","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"passed","Tue Jun 07 23:41:35 GMT 2022","Tue Jun 07 23:41:45 GMT 2022","9242","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 23:41:45 GMT 2022","Tue Jun 07 23:42:03 GMT 2022","18129","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 23:43:30 GMT 2022","Tue Jun 07 23:43:49 GMT 2022","18344","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 23:42:35 GMT 2022","Tue Jun 07 23:42:54 GMT 2022","19075","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 23:42:54 GMT 2022","Tue Jun 07 23:43:12 GMT 2022","18075","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 23:42:03 GMT 2022","Tue Jun 07 23:42:19 GMT 2022","15653","","YoutubeTest","","YoutubeTest","settings","settings()",""
