"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 03 00:12:29 GMT 2022","Fri Jun 03 00:12:29 GMT 2022","9","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Fri Jun 03 00:12:29 GMT 2022","Fri Jun 03 00:12:29 GMT 2022","6","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Fri Jun 03 00:12:29 GMT 2022","Fri Jun 03 00:12:29 GMT 2022","50","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Fri Jun 03 00:12:29 GMT 2022","Fri Jun 03 00:12:29 GMT 2022","3","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Fri Jun 03 00:12:29 GMT 2022","Fri Jun 03 00:12:29 GMT 2022","7","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Fri Jun 03 00:12:29 GMT 2022","Fri Jun 03 00:12:29 GMT 2022","3","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Fri Jun 03 00:12:29 GMT 2022","Fri Jun 03 00:12:29 GMT 2022","4","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Fri Jun 03 00:12:29 GMT 2022","Fri Jun 03 00:12:29 GMT 2022","2","","YoutubeTest","","YoutubeTest","history","history()",""
