"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 22:10:59 GMT 2022","Tue Jun 07 22:11:21 GMT 2022","21452","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 22:11:58 GMT 2022","Tue Jun 07 22:12:16 GMT 2022","18091","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 22:11:21 GMT 2022","Tue Jun 07 22:11:39 GMT 2022","18281","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 22:10:03 GMT 2022","Tue Jun 07 22:10:22 GMT 2022","18436","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 22:10:22 GMT 2022","Tue Jun 07 22:10:41 GMT 2022","18914","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 22:09:44 GMT 2022","Tue Jun 07 22:10:03 GMT 2022","19487","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 22:11:39 GMT 2022","Tue Jun 07 22:11:58 GMT 2022","18299","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 22:10:41 GMT 2022","Tue Jun 07 22:10:59 GMT 2022","18614","","YoutubeTest","","YoutubeTest","search","search()",""
