"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 23:18:45 GMT 2022","Tue Jun 07 23:19:05 GMT 2022","19478","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 23:20:21 GMT 2022","Tue Jun 07 23:20:40 GMT 2022","19007","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 23:18:26 GMT 2022","Tue Jun 07 23:18:45 GMT 2022","19454","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 23:19:24 GMT 2022","Tue Jun 07 23:19:43 GMT 2022","18999","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 23:20:02 GMT 2022","Tue Jun 07 23:20:21 GMT 2022","19239","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 23:19:05 GMT 2022","Tue Jun 07 23:19:24 GMT 2022","18896","","YoutubeTest","","YoutubeTest","search","search()",""
"passed","Tue Jun 07 23:18:16 GMT 2022","Tue Jun 07 23:18:26 GMT 2022","10036","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 23:19:43 GMT 2022","Tue Jun 07 23:20:02 GMT 2022","19281","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
