"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 00:50:37 GMT 2022","Wed Jun 08 00:50:55 GMT 2022","18248","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Wed Jun 08 00:51:31 GMT 2022","Wed Jun 08 00:51:49 GMT 2022","17996","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"passed","Wed Jun 08 00:50:10 GMT 2022","Wed Jun 08 00:50:19 GMT 2022","9146","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Wed Jun 08 00:51:49 GMT 2022","Wed Jun 08 00:52:07 GMT 2022","18107","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Wed Jun 08 00:50:55 GMT 2022","Wed Jun 08 00:51:13 GMT 2022","17903","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Wed Jun 08 00:51:13 GMT 2022","Wed Jun 08 00:51:31 GMT 2022","18186","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Wed Jun 08 00:52:07 GMT 2022","Wed Jun 08 00:52:25 GMT 2022","17823","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Wed Jun 08 00:50:19 GMT 2022","Wed Jun 08 00:50:37 GMT 2022","17789","","YoutubeTest","","YoutubeTest","logout","logout()",""
