"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 20:43:08 GMT 2022","Tue Jun 07 20:43:20 GMT 2022","12348","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 20:41:52 GMT 2022","Tue Jun 07 20:42:06 GMT 2022","13192","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 20:42:30 GMT 2022","Tue Jun 07 20:42:43 GMT 2022","12458","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 20:42:06 GMT 2022","Tue Jun 07 20:42:18 GMT 2022","12693","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 20:42:55 GMT 2022","Tue Jun 07 20:43:08 GMT 2022","12136","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 20:43:20 GMT 2022","Tue Jun 07 20:43:32 GMT 2022","12508","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 20:42:18 GMT 2022","Tue Jun 07 20:42:30 GMT 2022","12105","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 20:42:43 GMT 2022","Tue Jun 07 20:42:55 GMT 2022","12490","","YoutubeTest","","YoutubeTest","history","history()",""
