"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 21:40:19 GMT 2022","Tue Jun 07 21:40:35 GMT 2022","15491","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 21:40:04 GMT 2022","Tue Jun 07 21:40:19 GMT 2022","15366","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 21:39:17 GMT 2022","Tue Jun 07 21:39:32 GMT 2022","15536","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 21:38:43 GMT 2022","Tue Jun 07 21:38:59 GMT 2022","15728","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 21:39:32 GMT 2022","Tue Jun 07 21:39:48 GMT 2022","15478","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 21:38:59 GMT 2022","Tue Jun 07 21:39:17 GMT 2022","17824","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 21:39:48 GMT 2022","Tue Jun 07 21:40:04 GMT 2022","16082","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 21:38:26 GMT 2022","Tue Jun 07 21:38:43 GMT 2022","16867","","YoutubeTest","","YoutubeTest","login","login()",""
