"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 20:49:38 GMT 2022","Tue Jun 07 20:49:53 GMT 2022","14858","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 20:49:07 GMT 2022","Tue Jun 07 20:49:23 GMT 2022","15930","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 20:50:08 GMT 2022","Tue Jun 07 20:50:23 GMT 2022","15038","","YoutubeTest","","YoutubeTest","history","history()",""
"broken","Tue Jun 07 20:50:23 GMT 2022","Tue Jun 07 20:50:37 GMT 2022","14740","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 20:49:53 GMT 2022","Tue Jun 07 20:50:08 GMT 2022","14727","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 20:49:23 GMT 2022","Tue Jun 07 20:49:38 GMT 2022","14830","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 20:50:37 GMT 2022","Tue Jun 07 20:50:52 GMT 2022","14806","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 20:50:52 GMT 2022","Tue Jun 07 20:51:07 GMT 2022","14774","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
