"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 18:41:29 GMT 2022","Tue Jun 07 18:41:41 GMT 2022","12105","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Tue Jun 07 18:40:51 GMT 2022","Tue Jun 07 18:41:04 GMT 2022","12429","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Tue Jun 07 18:41:41 GMT 2022","Tue Jun 07 18:41:53 GMT 2022","12423","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Tue Jun 07 18:40:39 GMT 2022","Tue Jun 07 18:40:51 GMT 2022","12239","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Tue Jun 07 18:40:14 GMT 2022","Tue Jun 07 18:40:27 GMT 2022","12905","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Tue Jun 07 18:41:16 GMT 2022","Tue Jun 07 18:41:29 GMT 2022","12351","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Tue Jun 07 18:40:27 GMT 2022","Tue Jun 07 18:40:39 GMT 2022","12149","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Tue Jun 07 18:41:04 GMT 2022","Tue Jun 07 18:41:16 GMT 2022","12407","","YoutubeTest","","YoutubeTest","history","history()",""
