"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 03 08:18:26 GMT 2022","Fri Jun 03 08:18:26 GMT 2022","341","","YoutubeTest","","YoutubeTest","login","login()",""
"broken","Fri Jun 03 08:18:27 GMT 2022","Fri Jun 03 08:18:27 GMT 2022","264","","YoutubeTest","","YoutubeTest","unSubscribe","unSubscribe()",""
"broken","Fri Jun 03 08:18:26 GMT 2022","Fri Jun 03 08:18:26 GMT 2022","162","","YoutubeTest","","YoutubeTest","settings","settings()",""
"broken","Fri Jun 03 08:18:27 GMT 2022","Fri Jun 03 08:18:27 GMT 2022","164","","YoutubeTest","","YoutubeTest","historyDelete","historyDelete()",""
"broken","Fri Jun 03 08:18:26 GMT 2022","Fri Jun 03 08:18:26 GMT 2022","158","","YoutubeTest","","YoutubeTest","logout","logout()",""
"broken","Fri Jun 03 08:18:26 GMT 2022","Fri Jun 03 08:18:27 GMT 2022","285","","YoutubeTest","","YoutubeTest","search","search()",""
"broken","Fri Jun 03 08:18:27 GMT 2022","Fri Jun 03 08:18:27 GMT 2022","231","","YoutubeTest","","YoutubeTest","subscribe","subscribe()",""
"broken","Fri Jun 03 08:18:27 GMT 2022","Fri Jun 03 08:18:27 GMT 2022","165","","YoutubeTest","","YoutubeTest","history","history()",""
